35FF	CJK UNIFIED IDEOGRAPH-35FF
3600	CJK UNIFIED IDEOGRAPH-3600
3601	CJK UNIFIED IDEOGRAPH-3601
3602	CJK UNIFIED IDEOGRAPH-3602
3603	CJK UNIFIED IDEOGRAPH-3603
3604	CJK UNIFIED IDEOGRAPH-3604
3605	CJK UNIFIED IDEOGRAPH-3605
3606	CJK UNIFIED IDEOGRAPH-3606
3607	CJK UNIFIED IDEOGRAPH-3607
3608	CJK UNIFIED IDEOGRAPH-3608
3609	CJK UNIFIED IDEOGRAPH-3609
360A	CJK UNIFIED IDEOGRAPH-360A
360B	CJK UNIFIED IDEOGRAPH-360B
360C	CJK UNIFIED IDEOGRAPH-360C
360D	CJK UNIFIED IDEOGRAPH-360D
360E	CJK UNIFIED IDEOGRAPH-360E
360F	CJK UNIFIED IDEOGRAPH-360F
3610	CJK UNIFIED IDEOGRAPH-3610
3611	CJK UNIFIED IDEOGRAPH-3611
3612	CJK UNIFIED IDEOGRAPH-3612
3613	CJK UNIFIED IDEOGRAPH-3613
3614	CJK UNIFIED IDEOGRAPH-3614
3615	CJK UNIFIED IDEOGRAPH-3615
3616	CJK UNIFIED IDEOGRAPH-3616
3617	CJK UNIFIED IDEOGRAPH-3617
3618	CJK UNIFIED IDEOGRAPH-3618
3619	CJK UNIFIED IDEOGRAPH-3619
361A	CJK UNIFIED IDEOGRAPH-361A
361B	CJK UNIFIED IDEOGRAPH-361B
361C	CJK UNIFIED IDEOGRAPH-361C
361D	CJK UNIFIED IDEOGRAPH-361D
361E	CJK UNIFIED IDEOGRAPH-361E
361F	CJK UNIFIED IDEOGRAPH-361F
